open,high,low,close,volume,vwap,transactions
136.0,136.0,135.5,135.58,4241.0,135.5261,94
135.45,135.51,135.44,135.44,1814.0,135.4838,60
135.54,135.54,135.47,135.47,835.0,135.4957,47
135.46,135.46,135.31,135.37,3063.0,135.3685,88
135.35,135.39,135.35,135.39,1120.0,135.3622,23
135.34,135.38,135.34,135.38,1700.0,135.3624,44
135.47,135.47,135.4,135.4,1278.0,135.4241,56
135.32,135.38,135.32,135.38,1471.0,135.3703,63
135.38,135.4,135.38,135.4,3562.0,135.3937,66
135.43,135.43,135.4,135.4,565.0,135.4097,36
135.38,135.38,135.38,135.38,1460.0,135.3833,36
135.4,135.4,135.38,135.38,2306.0,135.3871,40
135.4,135.4,135.4,135.4,504.0,135.4024,34
135.32,135.4,135.32,135.4,1073.0,135.3773,40
135.36,135.36,135.3,135.3,4005.0,135.3335,89
135.36,135.36,135.36,135.36,358.0,135.351,24
135.4,135.4,135.4,135.4,791.0,135.4099,30
135.45,135.45,135.41,135.41,1406.0,135.4426,35
135.41,135.41,135.41,135.41,1012.0,135.4334,31
135.46,135.46,135.46,135.46,611.0,135.4593,13
135.44,135.44,135.42,135.42,741.0,135.432,20
135.42,135.42,135.42,135.42,270.0,135.4119,34
135.36,135.36,135.35,135.35,1156.0,135.3572,25
135.39,135.39,135.39,135.39,212.0,135.3892,11
135.39,135.39,135.39,135.39,336.0,135.3851,12
135.42,135.45,135.42,135.45,903.0,135.4331,22
135.48,135.49,135.48,135.49,879.0,135.4787,21
135.45,135.45,135.45,135.45,772.0,135.4615,49
135.45,135.46,135.42,135.46,1115.0,135.4343,34
135.42,135.44,135.42,135.42,2174.0,135.4317,58
135.42,135.42,135.42,135.42,333.0,135.4233,11
135.41,135.41,135.4,135.4,1541.0,135.4028,43
135.39,135.39,135.39,135.39,304.0,135.3955,20
135.42,135.42,135.42,135.42,301.0,135.4092,12
135.46,135.46,135.46,135.46,391.0,135.447,13
135.43,135.43,135.43,135.43,302.0,135.4328,11
135.43,135.43,135.38,135.38,2155.0,135.4203,89
135.37,135.37,135.26,135.26,2639.0,135.3207,134
135.25,135.26,135.24,135.24,2134.0,135.2513,36
135.24,135.25,135.2,135.24,2529.0,135.2263,37
135.2,135.2,135.2,135.2,467.0,135.2082,23
135.3,135.3,135.24,135.24,474.0,135.2717,13
135.25,135.25,135.25,135.25,333.0,135.2518,15
135.24,135.24,135.22,135.22,633.0,135.2329,29
135.3,135.3,135.3,135.3,776.0,135.3226,39
135.3,135.31,135.29,135.31,867.0,135.3051,33
135.3,135.3,135.29,135.29,562.0,135.2942,27
135.32,135.32,135.29,135.29,506.0,135.3059,11
135.37,135.37,135.37,135.37,278.0,135.359,15
135.3,135.3,135.3,135.3,325.0,135.3085,23
135.35,135.35,135.35,135.35,378.0,135.354,18
135.33,135.33,135.3,135.3,1054.0,135.3203,22
135.35,135.35,135.3,135.3,1832.0,135.3335,53
135.3,135.3,135.3,135.3,175.0,135.316,5
135.34,135.34,135.34,135.34,487.0,135.3432,17
135.31,135.31,135.31,135.31,595.0,135.3161,18
135.41,135.42,135.41,135.42,1136.0,135.4181,21
135.46,135.47,135.46,135.47,1189.0,135.4681,39
135.5,135.5,135.5,135.5,754.0,135.5006,33
135.58,135.58,135.58,135.58,547.0,135.5766,22
135.58,135.58,135.57,135.57,783.0,135.5773,14
135.55,135.55,135.5,135.5,708.0,135.5128,41
135.52,135.58,135.52,135.58,681.0,135.541,15
135.59,135.59,135.58,135.59,1411.0,135.5767,30
135.55,135.55,135.55,135.55,536.0,135.5568,20
135.54,135.54,135.53,135.53,881.0,135.5467,28
135.55,135.56,135.55,135.56,933.0,135.5602,20
135.55,135.55,135.55,135.55,565.0,135.552,17
135.59,135.59,135.59,135.59,201.0,135.5905,5
135.6,135.62,135.6,135.62,1348.0,135.6011,50
135.62,135.62,135.62,135.62,388.0,135.6218,19
135.67,135.68,135.67,135.68,401.0,135.6779,27
135.7,135.7,135.69,135.69,553.0,135.6933,13
135.7,135.7,135.7,135.7,315.0,135.7009,14
135.66,135.66,135.66,135.66,411.0,135.6768,28
135.63,135.63,135.62,135.62,2245.0,135.6255,56
135.6,135.6,135.5,135.5,2376.0,135.526,96
135.54,135.54,135.54,135.54,548.0,135.5388,31
135.61,135.61,135.59,135.59,1083.0,135.5928,34
135.59,135.59,135.59,135.59,548.0,135.5863,15
135.59,135.59,135.59,135.59,596.0,135.5899,17
135.59,135.59,135.59,135.59,236.0,135.5901,8
135.59,135.59,135.59,135.59,629.0,135.5991,29
135.54,135.55,135.54,135.54,1731.0,135.5473,46
135.62,135.62,135.59,135.59,436.0,135.5984,15
135.55,135.55,135.55,135.55,445.0,135.5675,37
135.55,135.55,135.55,135.55,231.0,135.5653,10
135.6,135.6,135.55,135.55,1076.0,135.5587,18
135.59,135.59,135.56,135.56,1054.0,135.576,27
135.59,135.59,135.59,135.59,405.0,135.5937,6
135.6,135.62,135.6,135.62,691.0,135.6112,22
135.6,135.6,135.6,135.6,492.0,135.5986,36
135.6,135.6,135.6,135.6,1041.0,135.6015,12
135.62,135.62,135.62,135.62,342.0,135.6223,25
135.6,135.6,135.55,135.55,1707.0,135.5901,48
135.54,135.57,135.52,135.57,1924.0,135.5386,38
135.55,135.55,135.55,135.55,661.0,135.5462,23
135.49,135.49,135.49,135.49,2236.0,135.4843,45
135.44,135.44,135.44,135.44,1429.0,135.4344,70
135.39,135.39,135.39,135.39,537.0,135.386,36
135.35,135.48,135.35,135.48,1809.0,135.4143,30
135.49,135.5,135.49,135.5,972.0,135.4943,36
135.54,135.54,135.54,135.54,252.0,135.5376,6
135.54,135.54,135.54,135.54,1650.0,135.5376,21
135.54,135.54,135.54,135.54,514.0,135.5389,13
135.53,135.53,135.53,135.53,343.0,135.531,12
135.51,135.51,135.51,135.51,667.0,135.5137,14
135.55,135.55,135.4,135.4,11338.0,135.4697,256
135.36,135.36,135.36,135.36,1241.0,135.3648,42
135.39,135.39,135.35,135.39,1812.0,135.3728,61
135.36,135.4,135.36,135.4,3246.0,135.3937,49
135.44,135.45,135.43,135.43,1631.0,135.4394,22
135.4,135.43,135.39,135.43,1548.0,135.4148,38
135.43,135.45,135.43,135.45,1156.0,135.4501,35
135.41,135.41,135.39,135.39,3057.0,135.4125,65
135.38,135.38,135.38,135.38,827.0,135.3813,56
135.4,135.4,135.38,135.38,2063.0,135.3752,74
135.33,135.35,135.31,135.35,5296.0,135.3383,132
135.33,135.33,135.32,135.32,1690.0,135.3269,60
135.36,135.36,135.34,135.34,1968.0,135.3448,62
135.3,135.36,135.3,135.36,2241.0,135.3195,57
135.35,135.35,135.33,135.33,1250.0,135.3481,44
135.36,135.38,135.36,135.38,8034.0,135.3617,61
135.37,135.42,135.37,135.42,2420.0,135.4049,39
135.4,135.4,135.39,135.39,939.0,135.3944,18
135.38,135.38,135.38,135.38,973.0,135.3676,38
135.34,135.35,135.34,135.35,1214.0,135.3448,20
135.47,135.51,135.47,135.5,9452.0,135.4868,106
135.52,135.52,135.5,135.5,17735.0,135.5004,40
