open,high,low,close,volume,vwap,transactions
65.75,65.75,65.75,65.75,277.0,65.7499,6
65.5,65.5,65.48,65.48,420.0,65.4993,11
65.75,65.75,65.75,65.75,2013.0,65.7456,12
65.61,65.61,65.61,65.61,120.0,65.6233,2
65.61,65.61,65.6,65.6,444.0,65.6165,12
65.69,65.69,65.69,65.69,110.0,65.686,4
65.7,65.7,65.7,65.7,343.0,65.7,11
65.61,65.61,65.6,65.6,798.0,65.6041,14
65.6,65.6,65.6,65.6,1432.0,65.5977,18
65.54,65.54,65.54,65.54,240.0,65.5401,11
65.57,65.57,65.57,65.57,201.0,65.5699,4
65.58,65.58,65.58,65.58,245.0,65.5782,4
65.66,65.66,65.66,65.66,157.0,65.637,6
65.64,65.64,65.64,65.64,302.0,65.6538,10
65.7,65.7,65.7,65.7,569.0,65.6881,11
65.67,65.67,65.67,65.67,286.0,65.6553,9
65.7,65.7,65.7,65.7,770.0,65.7,6
65.7,65.7,65.7,65.7,560.0,65.6869,18
65.58,65.58,65.57,65.57,508.0,65.5827,7
65.65,65.65,65.65,65.65,134.0,65.65,2
65.65,65.65,65.65,65.65,120.0,65.65,2
65.65,65.65,65.65,65.65,319.0,65.65,7
65.58,65.6,65.58,65.6,600.0,65.5848,8
65.58,65.58,65.58,65.58,200.0,65.58,1
65.59,65.6,65.59,65.6,1000.0,65.5969,5
65.6,65.6,65.6,65.6,280.0,65.6,2
65.6,65.6,65.6,65.6,1308.0,65.6,6
65.6,65.7,65.6,65.7,3563.0,65.6584,81
65.7,65.7,65.7,65.7,196.0,65.6982,4
65.72,65.72,65.72,65.72,365.0,65.7204,8
65.75,65.75,65.73,65.73,2567.0,65.7475,28
65.66,65.66,65.66,65.66,1590.0,65.6658,46
65.63,65.63,65.62,65.62,1092.0,65.6266,14
65.7,65.7,65.7,65.7,936.0,65.6985,23
65.7,65.72,65.64,65.72,2030.0,65.6865,35
65.64,65.64,65.64,65.64,102.0,65.6404,2
65.67,65.67,65.67,65.67,465.0,65.6806,15
65.77,65.77,65.77,65.77,292.0,65.7418,10
65.7,65.7,65.7,65.7,763.0,65.7021,15
65.71,65.71,65.71,65.71,2000.0,65.7099,7
